CustomerID,CustomerName,City,Region,OrderID,OrderDate,ProductID,ProductName,Category,Quantity,Sales,Discount,Profit
10001,Vihaan,Delhi,West,90001,31-08-2024,5001,Desk,Furniture,8,30486.44,1466.71,27693.58
10002,Kavya,Chennai,North,90002,18-12-2024,5002,Desk,Furniture,8,15250.93,1614.34,6158.54
10003,Aarav,Pune,North,90003,23-03-2024,5003,Laptop,Electronics,6,43657.08,5041.14,14135.57
10004,Aarav,Pune,North,90004,08-09-2024,5004,Office Chair,Furniture,1,17463.62,2054.8,6581.36
10005,Ananya,Chennai,West,90005,28-08-2024,5005,Mobile,Electronics,7,29128.01,3978.85,23816.72
10006,Aarav,Mumbai,East,90006,07-03-2024,5006,Office Chair,Furniture,7,40848.36,5634.15,27190.95
10007,Diya,Chennai,South,90007,11-07-2024,5007,Notebook,Stationery,8,11993.62,1991.65,9616.45
10008,Kavya,Hyderabad,East,90008,30-05-2024,5008,Printer,Electronics,6,2014.23,76.19,1424.1
10009,Vihaan,Hyderabad,North,90009,17-02-2024,5009,Printer,Electronics,10,15539.46,195.28,12756.18
10010,Kavya,Mumbai,North,90010,14-01-2025,5010,Laptop,Electronics,4,42457.43,5213.57,19237.26
10011,Arjun,Hyderabad,South,90011,14-11-2024,5011,Mobile,Electronics,3,27380.42,3760.88,16217.5
10012,Ananya,Pune,East,90012,17-07-2024,5012,Office Chair,Furniture,10,22751.49,3848.65,9612.87
10013,Vihaan,Chennai,South,90013,02-05-2024,5013,Notebook,Stationery,3,12240.64,881.4,9124.88
10014,Diya,Chennai,North,90014,30-10-2024,5014,Laptop,Electronics,2,46674.21,8729.01,10869.69
10015,Ananya,Mumbai,North,90015,04-04-2024,5015,Printer,Electronics,7,12401.76,1480.66,6498.98
10016,Diya,Bangalore,West,90016,30-03-2024,5016,Mobile,Electronics,3,7938.38,506.57,7152.16
10017,Meera,Hyderabad,East,90017,17-07-2024,5017,Notebook,Stationery,7,36497.29,4302.36,20726.82
10018,Arjun,Delhi,West,90018,06-03-2024,5018,Office Chair,Furniture,8,36988.76,5867.34,11415.02
10019,Rohan,Bangalore,East,90019,08-09-2024,5019,Notebook,Stationery,2,19230.01,246.29,13621.11
10020,Diya,Hyderabad,West,90020,17-05-2024,5020,Office Chair,Furniture,5,5036.3,769.61,1884.8
10021,Ananya,Hyderabad,South,90021,01-11-2024,5021,Printer,Electronics,3,11144.29,2215.97,7332.88
10022,Vihaan,Bangalore,West,90022,02-09-2024,5022,Desk,Furniture,9,15083.31,2653.86,6138.08
10023,Aarav,Hyderabad,South,90023,06-06-2024,5023,Printer,Electronics,7,26450.39,1837.04,18528.52
10024,Kavya,Mumbai,West,90024,22-10-2024,5024,Mobile,Electronics,4,48712.47,1165.38,20516.25
10025,Vihaan,Hyderabad,South,90025,14-10-2024,5025,Mobile,Electronics,6,26692.9,4649,17051.18
10026,Ananya,Chennai,North,90026,03-11-2024,5026,Laptop,Electronics,1,31724.57,2068.38,27254.03
10027,Diya,Pune,East,90027,26-01-2025,5027,Mobile,Electronics,5,40655.07,6923.44,24328.72
10028,Vihaan,Delhi,East,90028,08-04-2024,5028,Desk,Furniture,3,39977.05,676.88,37327.04
10029,Rohan,Mumbai,South,90029,30-12-2024,5029,Printer,Electronics,2,9640.13,1197.21,2705.95
10030,Aarav,Delhi,North,90030,07-11-2024,5030,Notebook,Stationery,1,20351.48,3786.25,14964.8
10031,Diya,Chennai,East,90031,09-12-2024,5031,Laptop,Electronics,8,48518.17,1295.1,44808.28
10032,Vihaan,Bangalore,South,90032,20-02-2024,5032,Notebook,Stationery,10,27565.69,3303.64,11790.59
10033,Meera,Hyderabad,North,90033,18-07-2024,5033,Laptop,Electronics,4,31949.3,2732.78,12851.85
10034,Meera,Pune,East,90034,04-06-2024,5034,Notebook,Stationery,5,23063.88,976.98,12746.48
10035,Aarav,Mumbai,South,90035,01-08-2024,5035,Desk,Furniture,5,14794.19,418.15,13182.88
10036,Aarav,Delhi,North,90036,26-08-2024,5036,Mobile,Electronics,9,38944.12,4293.77,11404.79
10037,Aarav,Chennai,East,90037,27-05-2024,5037,Office Chair,Furniture,6,6015.43,181.63,4009.04
10038,Aarav,Bangalore,North,90038,08-07-2024,5038,Printer,Electronics,9,2511.31,143.52,1256.19
10039,Kavya,Pune,West,90039,21-07-2024,5039,Printer,Electronics,5,38105.54,1427.67,33156.7
10040,Diya,Chennai,East,90040,16-07-2024,5040,Notebook,Stationery,1,3890.37,719.08,2833.87
10041,Aarav,Chennai,South,90041,16-04-2024,5041,Mobile,Electronics,9,14154.7,1034.41,5235.77
10042,Kavya,Bangalore,West,90042,06-10-2024,5042,Laptop,Electronics,3,20230.19,990.48,13331.82
10043,Ananya,Hyderabad,North,90043,03-02-2024,5043,Office Chair,Furniture,6,28794.3,1139.39,22177.38
10044,Aarav,Mumbai,North,90044,20-10-2024,5044,Printer,Electronics,5,19182.31,550.15,17699.32
10045,Vihaan,Delhi,West,90045,14-07-2024,5045,Printer,Electronics,1,40196.5,4938.06,28200.72
